Id,Name and Surname,Beginning year,Played until,Birthday,html
3820,Rich Rinaldi,1972,1974,"August 3, 1949",/players/r/rinalri01.html
3821,Mike Riordan,1969,1977,"July 9, 1945",/players/r/riordmi01.html
3822,Arnie Risen*,1949,1958,"October 9, 1924",/players/r/risenar01.html
3823,Tex Ritter,1949,1951,"February 26, 1924",/players/r/rittete01.html
3824,Ramón Rivas,1989,1989,"June 3, 1966",/players/r/rivasra01.html
3825,Austin Rivers,2013,2023,"August 1, 1992",/players/r/riverau01.html
3826,David Rivers,1989,1992,"January 20, 1965",/players/r/riverda01.html
3827,Doc Rivers,1984,1996,"October 13, 1961",/players/r/riverdo01.html
3828,Lee Robbins,1948,1949,"February 11, 1922",/players/r/robbile01.html
3829,Red Robbins,1968,1975,"September 30, 1944",/players/r/robbire01.html
3830,Andre Roberson,2014,2021,"December 4, 1991",/players/r/roberan03.html
3831,Anthony Roberson,2006,2009,"February 14, 1983",/players/r/roberan02.html
3832,Rick Roberson,1970,1976,"July 7, 1947",/players/r/roberri01.html
3833,Terrance Roberson,2001,2001,"December 30, 1976",/players/r/roberte01.html
3834,Anthony Roberts,1978,1984,"April 15, 1955",/players/r/roberan01.html
3835,Bill Roberts,1949,1950,"March 13, 1925",/players/r/roberbi01.html
3836,Brian Roberts,2013,2017,"December 3, 1985",/players/r/roberbr01.html
3837,Fred Roberts,1984,1997,"August 14, 1960",/players/r/roberfr01.html
3838,Joe Roberts,1961,1968,"May 18, 1936",/players/r/roberjo01.html
3839,Lawrence Roberts,2006,2007,"October 20, 1982",/players/r/roberla01.html
3840,Marv Roberts,1972,1977,"January 29, 1950",/players/r/roberma01.html
3841,Stanley Roberts,1992,2000,"February 7, 1970",/players/r/roberst01.html
3842,Alvin Robertson,1985,1996,"July 22, 1962",/players/r/roberal01.html
3843,Oscar Robertson*,1961,1974,"November 24, 1938",/players/r/roberos01.html
3844,Ryan Robertson,2000,2000,"October 2, 1976",/players/r/roberry01.html
3845,Tony Robertson,1978,1979,"January 1, 1956",/players/r/roberto01.html
3846,Rick Robey,1979,1986,"January 30, 1956",/players/r/robeyri01.html
3847,Bernard Robinson,2005,2007,"December 26, 1980",/players/r/robinbe01.html
3848,Chris Robinson,1997,1998,"April 2, 1974",/players/r/robinch01.html
3849,Cliff Robinson,1980,1992,"March 13, 1960",/players/r/robincl01.html
3850,Clifford Robinson,1990,2007,"December 16, 1966",/players/r/robincl02.html
3851,David Robinson*,1990,2003,"August 6, 1965",/players/r/robinda01.html
3852,Devin Robinson,2018,2019,"March 7, 1995",/players/r/robinde01.html
3853,Duncan Robinson,2019,2023,"April 22, 1994",/players/r/robindu01.html
3854,Eddie Robinson,2000,2004,"April 19, 1976",/players/r/robined01.html
3855,Flynn Robinson,1967,1974,"April 28, 1941",/players/r/robinfl01.html
3856,Glenn Robinson,1995,2005,"January 10, 1973",/players/r/robingl01.html
3857,Glenn Robinson III,2015,2021,"January 8, 1994",/players/r/robingl02.html
3858,Jackie Robinson,1979,1982,"May 20, 1955",/players/r/robinja01.html
3859,Jamal Robinson,2001,2001,"December 27, 1973",/players/r/robinja03.html
3860,James Robinson,1994,2001,"August 31, 1970",/players/r/robinja02.html
3861,Jerome Robinson,2019,2021,"February 22, 1997",/players/r/robinje01.html
3862,Justin Robinson,2020,2022,"October 12, 1997",/players/r/robinju01.html
3863,Larry Robinson,1991,2002,"January 11, 1968",/players/r/robinla01.html
3864,Mitchell Robinson,2019,2023,"April 1, 1998",/players/r/robinmi01.html
3865,Nate Robinson,2006,2016,"May 31, 1984",/players/r/robinna01.html
3866,Oliver Robinson,1983,1983,"March 13, 1960",/players/r/robinol01.html
3867,Orlando Robinson,2023,2023,"July 10, 2000",/players/r/robinor01.html
3868,Ronnie Robinson,1974,1975,"March 9, 1951",/players/r/robinro01.html
3869,Rumeal Robinson,1991,1997,"November 13, 1966",/players/r/robinru01.html
3870,Sam Robinson,1971,1972,"January 1, 1948",/players/r/robinsa01.html
3871,Thomas Robinson,2013,2017,"March 17, 1991",/players/r/robinth01.html
3872,Truck Robinson,1975,1985,"October 4, 1951",/players/r/robintr01.html
3873,Wayne Robinson,1981,1981,"April 19, 1958",/players/r/robinwa01.html
3874,Wil Robinson,1974,1974,"December 25, 1949",/players/r/robinwi01.html
3875,Jeremiah Robinson-Earl,2022,2023,"November 3, 2000",/players/r/robinje02.html
3876,Bill Robinzine,1976,1982,"January 20, 1953",/players/r/robinbi01.html
3877,Dave Robisch,1972,1984,"December 22, 1949",/players/r/robisda01.html
3878,Isaiah Roby,2020,2023,"February 3, 1998",/players/r/robyis01.html
3879,Red Rocha,1948,1957,"September 18, 1923",/players/r/rochare01.html
3880,John Roche,1972,1982,"September 26, 1949",/players/r/rochejo01.html
3881,Gene Rock,1948,1948,"November 4, 1921",/players/r/rockge01.html
3882,Jack Rocker,1948,1948,"August 12, 1922",/players/r/rockeja01.html
3883,David Roddy,2023,2023,"March 27, 2001",/players/r/roddyda01.html
3884,Guy Rodgers*,1959,1970,"September 1, 1935",/players/r/rodgegu01.html
3885,Dennis Rodman*,1987,2000,"May 13, 1961",/players/r/rodmade01.html
3886,Sergio Rodríguez,2007,2017,"June 12, 1986",/players/r/rodrise01.html
3887,Lou Roe,1996,1997,"July 14, 1972",/players/r/roelo01.html
3888,Carlos Rogers,1995,2002,"February 6, 1971",/players/r/rogerca01.html
3889,Harry Rogers,1976,1976,"December 31, 1950",/players/r/rogerha01.html
3890,Johnny Rogers,1987,1988,"December 30, 1963",/players/r/rogerjo01.html
3891,Marshall Rogers,1977,1977,"August 27, 1953",/players/r/rogerma01.html
3892,Rodney Rogers,1994,2005,"June 20, 1971",/players/r/rogerro01.html
3893,Roy Rogers,1997,2000,"August 19, 1973",/players/r/rogerro02.html
3894,Willie Rogers,1969,1969,"September 11, 1945",/players/r/rogerwi01.html
3895,Al Roges,1954,1955,"October 25, 1930",/players/r/rogesal01.html
3896,Ken Rohloff,1964,1964,"April 18, 1939",/players/r/rohloke01.html
3897,Kenny Rollins,1949,1953,"September 14, 1923",/players/r/rollike01.html
3898,Phil Rollins,1959,1961,"January 19, 1934",/players/r/rolliph01.html
3899,Ryan Rollins,2023,2023,"July 3, 2002",/players/r/rolliry01.html
3900,Tree Rollins,1978,1995,"June 16, 1955",/players/r/rollitr01.html
3901,Lorenzo Romar,1981,1985,"November 13, 1958",/players/r/romarlo01.html
3902,Rajon Rondo,2007,2022,"February 22, 1986",/players/r/rondora01.html
3903,Jerry Rook,1970,1970,"October 27, 1943",/players/r/rookje01.html
3904,Sean Rooks,1993,2004,"September 9, 1969",/players/r/rooksse01.html
3905,Derrick Rose,2009,2023,"October 4, 1988",/players/r/rosede01.html
3906,Jalen Rose,1995,2007,"January 30, 1973",/players/r/roseja01.html
3907,Malik Rose,1997,2009,"November 23, 1974",/players/r/rosema01.html
3908,Rob Rose,1989,1989,"December 27, 1964",/players/r/rosero01.html
3909,Petey Rosenberg,1947,1947,"April 7, 1918",/players/r/rosenpe01.html
3910,Lennie Rosenbluth,1958,1959,"January 22, 1933",/players/r/rosenle01.html
3911,Hank Rosenstein,1947,1947,"June 16, 1920",/players/r/rosenha01.html
3912,Dick Rosenthal,1955,1957,"January 20, 1930",/players/r/rosendi01.html
3913,Quinton Ross,2005,2011,"April 30, 1981",/players/r/rossqu01.html
3914,Terrence Ross,2013,2023,"February 5, 1991",/players/r/rosste01.html
3915,Doug Roth,1990,1990,"August 24, 1967",/players/r/rothdo01.html
3916,Scott Roth,1988,1990,"June 3, 1963",/players/r/rothsc01.html
3917,Irv Rothenberg,1947,1949,"December 31, 1921",/players/r/rotheir01.html
3918,Mickey Rottner,1947,1948,"March 23, 1919",/players/r/rottnmi01.html
3919,Dan Roundfield,1976,1987,"May 26, 1953",/players/r/roundda01.html
3920,Giff Roux,1947,1949,"June 28, 1923",/players/r/rouxgi01.html
3921,Ron Rowan,1987,1987,"April 23, 1962",/players/r/rowanro01.html
3922,Curtis Rowe,1972,1979,"July 2, 1949",/players/r/rowecu01.html
3923,Jim Rowinski,1989,1990,"January 4, 1961",/players/r/rowinji01.html
3924,Derrick Rowland,1986,1986,"June 21, 1959",/players/r/rowlade01.html
3925,Brian Rowsom,1988,1990,"October 23, 1965",/players/r/rowsobr01.html
3926,Brandon Roy,2007,2013,"July 23, 1984",/players/r/roybr01.html
3927,Donald Royal,1990,1998,"May 22, 1966",/players/r/royaldo01.html
3928,Reggie Royals,1975,1975,"September 18, 1950",/players/r/royalre01.html
3929,Bob Royer,1950,1950,"October 15, 1927",/players/r/royerbo01.html
3930,Clifford Rozier,1995,1998,"October 31, 1972",/players/r/roziecl01.html
3931,Terry Rozier,2016,2023,"March 17, 1994",/players/r/roziete01.html
3932,Ricky Rubio,2012,2023,"October 21, 1990",/players/r/rubiori01.html
3933,Guy Rucker,2003,2003,"July 27, 1977",/players/r/ruckegu01.html
3934,Delaney Rudd,1990,1993,"November 8, 1962",/players/r/ruddde01.html
3935,John Rudd,1979,1979,"August 7, 1955",/players/r/ruddjo01.html
3936,Damjan Rudež,2015,2017,"June 17, 1986",/players/r/rudezda01.html
3937,John Rudometkin,1963,1965,"June 6, 1940",/players/r/rudomjo01.html
3938,Michael Ruffin,2000,2009,"January 21, 1977",/players/r/ruffimi01.html
3939,Trevor Ruffin,1995,1996,"September 26, 1970",/players/r/ruffitr01.html
3940,Paul Ruffner,1971,1976,"October 15, 1948",/players/r/ruffnpa01.html
3941,Joe Ruklick,1960,1962,"August 3, 1938",/players/r/ruklijo01.html
3942,Jeff Ruland,1982,1993,"December 16, 1958",/players/r/rulanje01.html
3943,Bob Rule,1968,1975,"June 29, 1944",/players/r/rulebo01.html
3944,Jerry Rullo,1947,1950,"June 23, 1923",/players/r/rulloje01.html
3945,Stefano Rusconi,1996,1996,"October 2, 1968",/players/r/ruscost01.html
3946,Brandon Rush,2009,2017,"July 7, 1985",/players/r/rushbr01.html
3947,Kareem Rush,2003,2010,"October 30, 1980",/players/r/rushka01.html
3948,Bill Russell*,1957,1969,"February 12, 1934",/players/r/russebi01.html
3949,Bryon Russell,1994,2006,"December 31, 1970",/players/r/russebr01.html
3950,Campy Russell,1975,1985,"January 12, 1952",/players/r/russeca02.html
3951,Cazzie Russell,1967,1978,"June 7, 1944",/players/r/russeca01.html
3952,D'Angelo Russell,2016,2023,"February 23, 1996",/players/r/russeda01.html
3953,Frank Russell,1973,1973,"April 17, 1949",/players/r/russefr01.html
3954,Pierre Russell,1972,1973,"December 13, 1949",/players/r/russepi01.html
3955,Rubin Russell,1968,1968,"November 7, 1944",/players/r/russeru01.html
3956,Walker Russell,1983,1988,"October 26, 1960",/players/r/russewa01.html
3957,Walker Russell,2012,2012,"October 6, 1982",/players/r/russewa02.html
3958,Matt Ryan,2022,2023,"April 17, 1997",/players/r/ryanma01.html
3959,Arvydas Sabonis*,1996,2003,"December 19, 1964",/players/s/sabonar01.html
3960,Domantas Sabonis,2017,2023,"May 3, 1996",/players/s/sabondo01.html
3961,Robert Sacre,2013,2016,"June 6, 1989",/players/s/sacrero01.html
3962,Ed Sadowski,1947,1950,"July 11, 1915",/players/s/sadowed01.html
3963,Kenny Sailors,1947,1951,"January 14, 1921",/players/s/sailoke01.html
3964,John Salley,1987,2000,"May 16, 1964",/players/s/sallejo01.html
3965,John Salmons,2003,2015,"December 12, 1979",/players/s/salmojo01.html
3966,Al Salvadori,1968,1968,"May 6, 1945",/players/s/salvaal01.html
3967,Kevin Salvadori,1997,1998,"December 30, 1970",/players/s/salvake01.html
3968,Soumaila Samake,2001,2003,"March 18, 1978",/players/s/samakso01.html
3969,Luka Šamanić,2020,2023,"January 9, 2000",/players/s/samanlu01.html
3970,Cheikh Samb,2008,2009,"October 22, 1984",/players/s/sambch01.html
3971,Brandon Sampson,2019,2019,"May 1, 1997",/players/s/sampsbr01.html
3972,JaKarr Sampson,2015,2021,"March 20, 1993",/players/s/sampsja02.html
3973,Jamal Sampson,2003,2007,"May 15, 1983",/players/s/sampsja01.html
3974,Ralph Sampson*,1984,1992,"July 7, 1960",/players/s/sampsra01.html
3975,Samardo Samuels,2011,2013,"January 9, 1989",/players/s/samuesa01.html
3976,Pepe Sánchez,2001,2003,"May 8, 1977",/players/s/sanchpe01.html
3977,Al Sanders,1973,1973,"January 1, 1950",/players/s/sandeal01.html
3978,Frankie Sanders,1979,1981,"January 23, 1957",/players/s/sandefr01.html
3979,Jeff Sanders,1990,1993,"January 14, 1966",/players/s/sandeje01.html
3980,Larry Sanders,2011,2017,"November 21, 1988",/players/s/sandela01.html
3981,Melvin Sanders,2006,2006,"January 3, 1981",/players/s/sandeme01.html
3982,Mike Sanders,1983,1993,"May 7, 1960",/players/s/sandemi01.html
3983,Tom Sanders*,1961,1973,"November 8, 1938",/players/s/sandeto01.html
3984,Ron Sanford,1972,1972,"June 11, 1946",/players/s/sanforo01.html
3985,Daniel Santiago,2001,2005,"June 24, 1976",/players/s/santida01.html
3986,Bob Santini,1956,1956,"February 17, 1935",/players/s/santibo01.html
3987,Wayne Sappleton,1985,1985,"November 17, 1960",/players/s/sapplwa01.html
3988,Dario Šarić,2017,2023,"April 8, 1994",/players/s/saricda01.html
3989,Olivier Sarr,2022,2023,"February 20, 1999",/players/s/sarrol01.html
3990,Jason Sasser,1997,1999,"January 13, 1974",/players/s/sasseja01.html
3991,Jeryl Sasser,2002,2003,"February 13, 1979",/players/s/sasseje01.html
3992,Tomáš Satoranský,2017,2022,"October 30, 1991",/players/s/satorto01.html
3993,Kenny Satterfield,2002,2003,"April 10, 1981",/players/s/satteke01.html
3994,Pep Saul,1950,1955,"February 16, 1924",/players/s/saulpe01.html
3995,Woody Sauldsberry,1958,1966,"July 11, 1934",/players/s/sauldwo01.html
3996,Glynn Saulters,1969,1969,"February 10, 1945",/players/s/saultgl01.html
3997,Fred Saunders,1975,1978,"June 13, 1951",/players/s/saundfr01.html
3998,Don Savage,1952,1957,"April 9, 1928",/players/s/savagdo01.html
3999,Predrag Savović,2003,2003,"May 21, 1976",/players/s/savovpr01.html
4000,Alan Sawyer,1951,1951,"January 1, 1928",/players/s/sawyeal01.html
4001,Brian Scalabrine,2002,2012,"March 18, 1978",/players/s/scalabr01.html
4002,Alex Scales,2006,2006,"July 3, 1978",/players/s/scaleal01.html
4003,DeWayne Scales,1981,1984,"December 28, 1958",/players/s/scalede01.html
4004,Frank Schade,1973,1973,"January 22, 1950",/players/s/schadfr01.html
4005,Ben Schadler,1948,1948,"March 9, 1924",/players/s/schadbe01.html
4006,Herm Schaefer,1949,1950,"December 20, 1918",/players/s/schaehe01.html
4007,Billy Schaeffer,1974,1976,"December 11, 1951",/players/s/schaebi01.html
4008,Bob Schafer,1956,1957,"March 29, 1933",/players/s/schafbo01.html
4009,Jordan Schakel,2022,2023,"June 13, 1998",/players/s/schakjo01.html
4010,Ben Scharnus,1947,1949,"December 11, 1917",/players/s/scharbe01.html
4011,Marv Schatzman,1950,1950,"February 18, 1927",/players/s/schatma01.html
4012,Fred Schaus,1950,1954,"June 30, 1925",/players/s/schaufr01.html
4013,Danny Schayes,1982,1999,"May 10, 1959",/players/s/schayda01.html
4014,Dolph Schayes*,1950,1964,"May 19, 1928",/players/s/schaydo01.html
4015,Ossie Schectman,1947,1947,"March 30, 1919",/players/s/schecos01.html
4016,Steve Scheffler,1991,1997,"September 3, 1967",/players/s/schefst01.html
4017,Tom Scheffler,1985,1985,"October 27, 1954",/players/s/schefto01.html
4018,Dave Schellhase,1967,1968,"October 14, 1944",/players/s/schelda01.html
4019,Luke Schenscher,2006,2007,"December 31, 1982",/players/s/schenlu01.html
4020,Herb Scherer,1951,1952,"December 21, 1928",/players/s/scherhe01.html
4021,Dwayne Schintzius,1991,1999,"October 14, 1968",/players/s/schindw01.html
4022,Dale Schlueter,1969,1978,"November 12, 1945",/players/s/schluda01.html
4023,Otto Schnellbacher,1949,1949,"April 15, 1923",/players/s/schneot01.html
4024,Dick Schnittker,1951,1958,"May 27, 1928",/players/s/schnidi01.html
4025,Russ Schoene,1983,1989,"April 16, 1960",/players/s/schoeru01.html
4026,Admiral Schofield,2020,2023,"March 30, 1997",/players/s/schofad01.html
4027,Dave Scholz,1970,1970,"April 12, 1948",/players/s/scholda01.html
4028,Milt Schoon,1947,1950,"February 25, 1922",/players/s/schoomi01.html
4029,Detlef Schrempf,1986,2001,"January 21, 1963",/players/s/schrede01.html
4030,Dennis Schröder,2014,2023,"September 15, 1993",/players/s/schrode01.html
4031,Howie Schultz,1950,1953,"July 3, 1922",/players/s/schulho01.html
4032,Dick Schulz,1947,1950,"January 3, 1917",/players/s/schuldi01.html
4033,Roger Schurig,1968,1968,"April 3, 1942",/players/s/schurro01.html
4034,John Schweitz,1985,1987,"April 19, 1960",/players/s/schwejo01.html
4035,Luis Scola,2008,2017,"April 30, 1980",/players/s/scolalu01.html
4036,Fred Scolari,1947,1955,"March 1, 1922",/players/s/scolafr01.html
4037,Alvin Scott,1978,1985,"September 14, 1955",/players/s/scottal01.html
4038,Brent Scott,1997,1997,"June 15, 1971",/players/s/scottbr01.html
4039,Byron Scott,1984,1997,"March 28, 1961",/players/s/scottby01.html
4040,Charlie Scott*,1971,1980,"December 15, 1948",/players/s/scottch01.html
4041,Dennis Scott,1991,2000,"September 5, 1968",/players/s/scottde01.html
4042,James Scott,1997,1997,"June 6, 1972",/players/s/scottja01.html
4043,Mike Scott,2013,2021,"July 16, 1988",/players/s/scottmi01.html
4044,Ray Scott,1962,1972,"July 12, 1938",/players/s/scottra01.html
4045,Shawnelle Scott,1997,2002,"June 16, 1972",/players/s/scottsh01.html
4046,Tre Scott,2022,2022,"November 25, 1996",/players/s/scotttr01.html
4047,Willie Scott,1970,1970,"May 22, 1947",/players/s/scottwi01.html
4048,Paul Scranton,1968,1968,"April 30, 1944",/players/s/scranpa01.html
4049,Jay Scrubb,2021,2023,"September 1, 2000",/players/s/scrubja01.html
4050,Carey Scurry,1986,1988,"December 4, 1962",/players/s/scurrca01.html
4051,Dereon Seabron,2023,2023,"May 26, 2000",/players/s/seabrde01.html
4052,Bruce Seals,1974,1978,"June 18, 1953",/players/s/sealsbr01.html
4053,Shea Seals,1998,1998,"August 26, 1975",/players/s/sealssh01.html
4054,Malik Sealy,1993,2000,"February 1, 1970",/players/s/sealyma01.html
4055,Ed Searcy,1976,1976,"April 17, 1952",/players/s/searced01.html
4056,Kenny Sears,1956,1964,"August 17, 1933",/players/s/searske01.html
4057,Wayne See,1950,1950,"November 3, 1923",/players/s/seewa01.html
4058,Thabo Sefolosha,2007,2020,"May 2, 1984",/players/s/sefolth01.html
4059,Rony Seikaly,1989,1999,"May 10, 1965",/players/s/seikaro01.html
4060,Glen Selbo,1950,1950,"March 29, 1926",/players/s/selbogl01.html
4061,Josh Selby,2012,2013,"March 27, 1991",/players/s/selbyjo01.html
4062,Wayne Selden,2017,2022,"September 30, 1994",/players/s/seldewa01.html
4063,Brad Sellers,1987,1993,"December 17, 1962",/players/s/sellebr01.html
4064,Phil Sellers,1977,1977,"November 20, 1953",/players/s/selleph01.html
4065,Rollie Seltz,1950,1950,"January 25, 1924",/players/s/seltzro01.html
4066,Les Selvage,1968,1970,"March 7, 1943",/players/s/selvale01.html
4067,Frank Selvy,1955,1964,"November 9, 1932",/players/s/selvyfr01.html
4068,Jim Seminoff,1947,1950,"September 1, 1922",/players/s/seminji01.html
4069,Mouhamed Sene,2007,2009,"May 12, 1986",/players/s/senesa01.html
4070,George Senesky,1947,1954,"April 4, 1922",/players/s/senesge01.html
4071,Alperen Şengün,2022,2023,"July 25, 2002",/players/s/sengual01.html
4072,Kevin Séraphin,2011,2017,"December 7, 1989",/players/s/serapke01.html
4073,Ansu Sesay,2002,2005,"July 29, 1976",/players/s/sesayan01.html
4074,Ramon Sessions,2008,2018,"April 11, 1986",/players/s/sessira01.html
4075,Ha Seung-Jin,2005,2006,"August 4, 1985",/players/s/seungha01.html
4076,Tom Sewell,1985,1985,"March 11, 1962",/players/s/sewelto01.html
4077,Collin Sexton,2019,2023,"January 4, 1999",/players/s/sextoco01.html
4078,Paul Seymour,1948,1960,"January 30, 1928",/players/s/seymopa01.html
4079,Nick Shaback,1947,1947,"September 10, 1918",/players/s/shabani01.html
4080,Lynn Shackelford,1970,1970,"August 27, 1947",/players/s/shackly01.html
4081,Charles Shackleford,1989,1999,"April 22, 1966",/players/s/shackch01.html
4082,Carl Shaeffer,1950,1951,"October 25, 1924",/players/s/shaefca01.html
4083,Lee Shaffer,1962,1964,"February 23, 1939",/players/s/shaffle01.html
4084,Mustafa Shakur,2011,2014,"August 18, 1984",/players/s/shakumu01.html
4085,Landry Shamet,2019,2023,"March 13, 1997",/players/s/shamela01.html
4086,God Shammgod,1998,1998,"April 29, 1976",/players/s/shammgo01.html
4087,Earl Shannon,1947,1949,"November 23, 1921",/players/s/shannea01.html
4088,Howie Shannon,1949,1950,"June 10, 1923",/players/s/shannho01.html
4089,Chuck Share,1952,1960,"March 14, 1927",/players/s/sharech01.html
4090,Bill Sharman*,1951,1961,"May 25, 1926",/players/s/sharmbi01.html
4091,Day'Ron Sharpe,2022,2023,"November 6, 2001",/players/s/sharpda01.html
4092,Shaedon Sharpe,2023,2023,"May 30, 2003",/players/s/sharpsh01.html
4093,Walter Sharpe,2009,2009,"July 18, 1986",/players/s/sharpwa01.html
4094,John Shasky,1989,1991,"July 31, 1964",/players/s/shaskjo01.html
4095,Ron Shavlik,1957,1958,"December 4, 1933",/players/s/shavlro01.html
4096,Brian Shaw,1989,2003,"March 22, 1966",/players/s/shawbr01.html
4097,Casey Shaw,1999,1999,"July 20, 1975",/players/s/shawca01.html
4098,Marial Shayok,2020,2020,"July 26, 1995",/players/s/shayoma01.html
4099,Bob Shea,1947,1947,"September 11, 1924",/players/s/sheabo01.html
4100,Fred Sheffield,1947,1947,"November 5, 1923",/players/s/shefffr01.html
4101,Craig Shelton,1981,1982,"May 1, 1957",/players/s/sheltcr01.html
4102,Lonnie Shelton,1977,1986,"October 19, 1955",/players/s/sheltlo01.html
4103,Tornike Shengelia,2013,2014,"October 5, 1991",/players/s/shengto01.html
4104,Billy Shepherd,1973,1975,"November 18, 1949",/players/s/shephbi01.html
4105,Jeff Sheppard,1999,1999,"September 29, 1974",/players/s/sheppje01.html
4106,Steve Sheppard,1978,1979,"March 21, 1954",/players/s/sheppst01.html
4107,Ed Sherod,1983,1983,"September 13, 1959",/players/s/sheroed01.html
4108,Charley Shipp,1950,1950,"December 3, 1913",/players/s/shippch01.html
4109,Paul Shirley,2003,2005,"December 23, 1977",/players/s/shirlpa01.html
4110,Gene Short,1976,1976,"August 7, 1953",/players/s/shortge01.html
4111,Purvis Short,1979,1990,"July 2, 1957",/players/s/shortpu01.html
4112,Dexter Shouse,1990,1990,"March 24, 1963",/players/s/shousde01.html
4113,Dick Shrider,1949,1949,"February 7, 1923",/players/s/shriddi01.html
4114,Gene Shue,1955,1964,"December 18, 1931",/players/s/shuege01.html
4115,John Shumate,1976,1981,"April 6, 1952",/players/s/shumajo01.html
4116,Iman Shumpert,2012,2021,"June 26, 1990",/players/s/shumpim01.html
4117,Alexey Shved,2013,2015,"December 16, 1988",/players/s/shvedal01.html
4118,Pascal Siakam,2017,2023,"April 2, 1994",/players/s/siakapa01.html
4119,Jordan Sibert,2019,2019,"August 1, 1992",/players/s/siberjo01.html
4120,Sam Sibert,1973,1973,"February 11, 1949",/players/s/sibersa01.html
4121,Mark Sibley,1974,1974,"November 13, 1950",/players/s/siblema01.html
4122,Jerry Sichting,1981,1990,"November 29, 1956",/players/s/sichtje01.html
4123,Don Sidle,1969,1972,"June 21, 1946",/players/s/sidledo01.html
4124,Larry Siegfried,1964,1972,"May 22, 1939",/players/s/siegfla01.html
4125,Ralph Siewert,1947,1947,"December 31, 1923",/players/s/siewera01.html
4126,Jack Sikma*,1978,1991,"November 14, 1955",/players/s/sikmaja01.html
4127,James Silas,1973,1982,"February 11, 1949",/players/s/silasja01.html
4128,Paul Silas,1965,1980,"July 12, 1943",/players/s/silaspa01.html
4129,Xavier Silas,2012,2018,"January 22, 1988",/players/s/silasxa01.html
4130,Garret Siler,2011,2011,"October 25, 1986",/players/s/silerga01.html
4131,Mike Silliman,1971,1971,"May 5, 1944",/players/s/sillimi01.html
4132,Chris Silva,2020,2023,"September 19, 1996",/players/s/silvach01.html
4133,Wayne Simien,2006,2007,"March 9, 1983",/players/s/simiewa01.html
4134,Ben Simmons,2018,2023,"July 20, 1996",/players/s/simmobe01.html
4135,Bobby Simmons,2002,2012,"June 2, 1980",/players/s/simmobo01.html
4136,Cedric Simmons,2007,2009,"January 3, 1986",/players/s/simmoce01.html
4137,Connie Simmons,1947,1956,"March 15, 1925",/players/s/simmoco01.html
4138,Grant Simmons,1968,1969,"March 7, 1943",/players/s/simmogr01.html
4139,Johnny Simmons,1947,1947,"July 7, 1924",/players/s/simmojo01.html
4140,Jonathon Simmons,2016,2019,"September 14, 1989",/players/s/simmojo02.html
4141,Kobi Simmons,2018,2023,"July 4, 1997",/players/s/simmoko01.html
4142,Lionel Simmons,1991,1997,"November 14, 1968",/players/s/simmoli01.html
4143,Miles Simon,1999,1999,"November 21, 1975",/players/s/simonmi01.html
4144,Walt Simon,1968,1974,"December 1, 1939",/players/s/simonwa01.html
4145,Marko Simonovic,2022,2023,"October 15, 1999",/players/s/simonma01.html
4146,Anfernee Simons,2019,2023,"June 8, 1999",/players/s/simonan01.html
4147,Dickey Simpkins,1995,2002,"April 6, 1972",/players/s/simpkdi01.html
4148,Ralph Simpson,1971,1980,"August 10, 1949",/players/s/simpsra01.html
4149,Zavier Simpson,2022,2022,"February 11, 1997",/players/s/simpsza01.html
4150,Alvin Sims,1999,1999,"October 18, 1974",/players/s/simsal01.html
4151,Bob Sims,1962,1968,"October 9, 1938",/players/s/simsbo01.html
4152,Courtney Sims,2008,2009,"October 21, 1983",/players/s/simsco01.html
4153,Doug Sims,1969,1969,"June 29, 1943",/players/s/simsdo01.html
4154,Henry Sims,2013,2016,"March 27, 1990",/players/s/simshe01.html
4155,Jericho Sims,2022,2023,"October 20, 1998",/players/s/simsje01.html
4156,Scott Sims,1978,1978,"April 18, 1955",/players/s/simssc01.html
4157,Kyle Singler,2013,2018,"May 4, 1988",/players/s/singlky01.html
4158,Sean Singletary,2009,2009,"September 6, 1985",/players/s/singlse01.html
4159,Chris Singleton,2012,2014,"November 21, 1989",/players/s/singlch01.html
4160,James Singleton,2006,2012,"July 20, 1981",/players/s/singlja01.html
4161,McKinley Singleton,1987,1987,"October 29, 1961",/players/s/singlmc01.html
4162,Zeke Sinicola,1952,1954,"January 25, 1929",/players/s/sinicze01.html
4163,Deividas Sirvydis,2021,2022,"June 10, 2000",/players/s/sirvyde01.html
4164,Charlie Sitton,1985,1985,"July 3, 1962",/players/s/sittoch01.html
4165,Peyton Siva,2014,2014,"October 24, 1990",/players/s/sivape01.html
4166,Scott Skiles,1987,1996,"March 5, 1964",/players/s/skilesc01.html
4167,Al Skinner,1975,1980,"June 16, 1952",/players/s/skinnal01.html
4168,Brian Skinner,1999,2012,"May 19, 1976",/players/s/skinnbr01.html
4169,Tal Skinner,1975,1976,"September 10, 1952",/players/s/skinnta01.html
4170,Whitey Skoog,1952,1957,"November 2, 1926",/players/s/skoogwh01.html
4171,Jeff Slade,1963,1963,"March 1, 1941",/players/s/sladeje01.html
4172,Reggie Slater,1995,2003,"August 27, 1970",/players/s/slatere01.html
4173,Jim Slaughter,1952,1952,"May 13, 1928",/players/s/slaugji01.html
4174,Jose Slaughter,1983,1983,"September 9, 1960",/players/s/slaugjo01.html
4175,Tamar Slay,2003,2005,"April 2, 1980",/players/s/slayta01.html
4176,Donald Sloan,2012,2016,"January 15, 1988",/players/s/sloando01.html
